starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 13:44:41 2020	1595069081	0	13393	13393	13393
Sat Jul 18 13:44:41 2020	1595069081	0	13393	13393	13393
Sat Jul 18 13:44:42 2020	1595069082	0	13393	13393	13393
Sat Jul 18 13:44:34 2020	1595069074	0	13393	13393	13393
Sat Jul 18 13:44:38 2020	1595069078	0	13393	13393	13393
Sat Jul 18 13:44:40 2020	1595069080	0	13393	13393	13393
Sat Jul 18 13:44:42 2020	1595069082	0	13394	13394	13393
Sat Jul 18 13:44:23 2020	1595069063	0	13395	13395	13395
Sat Jul 18 13:44:39 2020	1595069079	0	13395	13395	13395
Sat Jul 18 13:44:42 2020	1595069082	0	13395	13395	13395
Sat Jul 18 13:44:22 2020	1595069062	0	13395	13395	13387
Sat Jul 18 13:44:26 2020	1595069066	0	13395	13396	13395
Sat Jul 18 13:44:41 2020	1595069081	0	13396	13396	13395
Sat Jul 18 13:44:28 2020	1595069068	0	13396	13396	13395
Sat Jul 18 13:44:28 2020	1595069068	0	13396	13396	13396
Sat Jul 18 13:44:41 2020	1595069081	0	13396	13396	13396
Sat Jul 18 13:44:39 2020	1595069079	0	13396	13396	13396
Sat Jul 18 13:44:34 2020	1595069074	0	13396	13396	13396
Sat Jul 18 13:44:42 2020	1595069082	0	13396	13396	13382
Sat Jul 18 13:44:30 2020	1595069070	0	13396	13396	13396
Sat Jul 18 13:44:34 2020	1595069074	0	13396	13396	13396
Sat Jul 18 13:44:38 2020	1595069078	0	13396	13396	13395
Sat Jul 18 13:44:42 2020	1595069082	0	13396	13397	13396
Sat Jul 18 13:44:42 2020	1595069082	0	13397	13397	13396
Sat Jul 18 13:44:34 2020	1595069074	0	13397	13397	13397
Sat Jul 18 13:44:39 2020	1595069079	0	13397	13397	13397
Sat Jul 18 13:44:34 2020	1595069074	0	13397	13397	13397
Sat Jul 18 13:44:42 2020	1595069082	0	13397	13397	13393
Sat Jul 18 13:44:40 2020	1595069080	0	13397	13397	13397
Sat Jul 18 13:44:42 2020	1595069082	0	13397	13397	13397
Sat Jul 18 13:44:42 2020	1595069082	0	13397	13397	13397
Sat Jul 18 13:44:38 2020	1595069078	0	13397	13397	13397
Sat Jul 18 13:44:42 2020	1595069082	0	13397	13397	13397
